,Date,Index Name,Value,Name
9397,1988-04-01,"HOTELS, CAFES AND RESTAURANTS",33.5,CPI
857,1988-04-01,CLOTHING AND FOOTWEAR,195.6,CPIH
8116,1988-04-01,COMMUNICATION,97.0,CPI
6408,1988-04-01,"Housing, water, electricity, gas and other fuels",39.8,CPI
2565,1988-04-01,TRANSPORT,41.2,CPIH
7689,1988-04-01,TRANSPORT,41.1,CPI
7262,1988-04-01,HEALTH,38.4,CPI
4273,1988-04-01,"HOTELS, CAFES AND RESTAURANTS",33.5,CPIH
6835,1988-04-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",69.5,CPI
9824,1988-04-01,MISCELLANEOUS GOODS AND SERVICES,46.4,CPI
3,1988-04-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.7,CPIH
8970,1988-04-01,EDUCATION,12.4,CPI
2992,1988-04-01,COMMUNICATION,98.1,CPIH
1284,1988-04-01,"HOUSING, WATER AND FUELS",32.5,CPIH
3419,1988-04-01,RECREATION & CULTURE,75.3,CPIH
4700,1988-04-01,MISCELLANEOUS GOODS AND SERVICES,45.8,CPIH
5127,1988-04-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.6,CPI
430,1988-04-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.9,CPIH
8543,1988-04-01,RECREATION & CULTURE,74.9,CPI
2139,1988-05-01,HEALTH,38.8,CPIH
4274,1988-05-01,"HOTELS, CAFES AND RESTAURANTS",33.7,CPIH
4701,1988-05-01,MISCELLANEOUS GOODS AND SERVICES,46.0,CPIH
5128,1988-05-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.7,CPI
2566,1988-05-01,TRANSPORT,41.4,CPIH
9398,1988-05-01,"HOTELS, CAFES AND RESTAURANTS",33.7,CPI
4,1988-05-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.8,CPIH
858,1988-05-01,CLOTHING AND FOOTWEAR,198.4,CPIH
5555,1988-05-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.9,CPI
7690,1988-05-01,TRANSPORT,41.2,CPI
7263,1988-05-01,HEALTH,38.5,CPI
6836,1988-05-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",69.8,CPI
8544,1988-05-01,RECREATION & CULTURE,75.2,CPI
1285,1988-05-01,"HOUSING, WATER AND FUELS",32.8,CPIH
2993,1988-05-01,COMMUNICATION,98.0,CPIH
3420,1988-05-01,RECREATION & CULTURE,75.6,CPIH
8117,1988-05-01,COMMUNICATION,97.0,CPI
431,1988-05-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.0,CPIH
9825,1988-05-01,MISCELLANEOUS GOODS AND SERVICES,46.5,CPI
8971,1988-05-01,EDUCATION,12.4,CPI
6409,1988-05-01,"Housing, water, electricity, gas and other fuels",40.0,CPI
1712,1988-05-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.5,CPIH
3847,1988-05-01,EDUCATION,12.4,CPIH
5982,1988-05-01,CLOTHING AND FOOTWEAR,197.9,CPI
859,1988-06-01,CLOTHING AND FOOTWEAR,199.1,CPIH
7691,1988-06-01,TRANSPORT,41.6,CPI
5556,1988-06-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.9,CPI
7264,1988-06-01,HEALTH,38.6,CPI
6837,1988-06-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.0,CPI
8545,1988-06-01,RECREATION & CULTURE,75.2,CPI
4275,1988-06-01,"HOTELS, CAFES AND RESTAURANTS",33.8,CPIH
5129,1988-06-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.8,CPI
5983,1988-06-01,CLOTHING AND FOOTWEAR,198.5,CPI
8972,1988-06-01,EDUCATION,12.4,CPI
1286,1988-06-01,"HOUSING, WATER AND FUELS",33.1,CPIH
4702,1988-06-01,MISCELLANEOUS GOODS AND SERVICES,46.2,CPIH
9826,1988-06-01,MISCELLANEOUS GOODS AND SERVICES,46.7,CPI
432,1988-06-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",28.0,CPIH
9399,1988-06-01,"HOTELS, CAFES AND RESTAURANTS",33.8,CPI
6410,1988-06-01,"Housing, water, electricity, gas and other fuels",40.2,CPI
2140,1988-06-01,HEALTH,38.9,CPIH
8118,1988-06-01,COMMUNICATION,96.9,CPI
1713,1988-06-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.6,CPIH
5,1988-06-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.9,CPIH
2567,1988-06-01,TRANSPORT,41.7,CPIH
3421,1988-06-01,RECREATION & CULTURE,75.6,CPIH
2994,1988-06-01,COMMUNICATION,98.0,CPIH
3848,1988-06-01,EDUCATION,12.4,CPIH
3849,1988-07-01,EDUCATION,12.4,CPIH
2995,1988-07-01,COMMUNICATION,98.0,CPIH
5984,1988-07-01,CLOTHING AND FOOTWEAR,195.1,CPI
8546,1988-07-01,RECREATION & CULTURE,75.3,CPI
2568,1988-07-01,TRANSPORT,42.0,CPIH
5557,1988-07-01,"ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS",27.9,CPI
1714,1988-07-01,"FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE",70.5,CPIH
4703,1988-07-01,MISCELLANEOUS GOODS AND SERVICES,46.6,CPIH
5130,1988-07-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.4,CPI
7265,1988-07-01,HEALTH,38.7,CPI
7692,1988-07-01,TRANSPORT,41.8,CPI
860,1988-07-01,CLOTHING AND FOOTWEAR,195.6,CPIH
6,1988-07-01,FOOD AND NON-ALCOHOLIC BEVERAGES,48.5,CPIH
